Afrikaans,af,0x0436,1078
Albanian,sq,0x041C,1052
Arabic,ar-sa,0x0401,1025
Armenian,hy,0x042B,1067
Azeri,az-az,0x042C,1068
Basque,eu,0x042D,1069
Belarusian,be,0x0423,1059
Bulgarian,bg,0x0402,1026
Catalan,ca,0x0403,1027
Chinese,zh-tw,0x0404,1028
Croatian,hr,0x041A,1050
Czech,cs,0x0405,1029
Danish,da,0x0406,1030
Dutch,nl-nl,0x0413,1043
English,en-us,0x0409,1033
Estonian,et,0x0425,1061
Farsi,fa,0x0429,1065
Finnish,fi,0x040B,1035
Faroese,fo,0x0438,1080
French,fr-fr,0x040C,1036
German,de-de,0x0407,1031
Greek,el,0x0408,1032
Hebrew,he,0x040D,1037
Hindi,hi,0x0439,1081
Hungarian,hu,0x040E,1038
Icelandic,is,0x040F,1039
Indonesian,id,0x0421,1057
Italian,it-it,0x0410,1040
Japanese,ja,0x0411,1041
Korean,ko,0x0412,1042
Latin,la,0476,1142
Latvian,lv,0x0426,1062
Lithuanian,lt,0x0427,1063
FYRO Macedonian,mk,0x042F,1071
Malay,ms-my,0x043E,1086
Marathi,mr,0x044E,1102
Norwegian,no-no,0x0414,1044
Polish,pl,0x0415,1045
Portuguese,pt-br,0x0416,1046
Romanian,ro,0x0418,1048
Russian,ru,0x0419,1049
Sanskrit,sa,0x044F,1103
Serbian,sr-sp,0x081A,2074
Slovenian,sl,0x0424,1060
Slovak,sk,0x041B,1051
Spanish,es-es,0x0C0A,1034
Swahili,sw,0x0441,1089
Swedish,sv-se,0x041D,1053
Tamil,ta,0x0449,1097
Tatar,tt,0X0444,1092
Thai,th,0x041E,1054
Turkish,tr,0x041F,1055
Ukrainian,uk,0x0422,1058
Urdu,ur,0x0420,1056
Uzbek,uz-uz,0x0443,1091
Vietnamese,vi,0x042A,1066
